Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000035.1	31692	33116		plus	AmpG family muropeptide MFS transporter		0	protein-coding		WP_018863250.1	474	G372_RS0102880
NZ_ARQK01000035.1	33297	33461		minus	hypothetical protein		0	protein-coding		WP_018139797.1	54	G372_RS14285
NZ_ARQK01000035.1	33554	34066		minus	peptidyl-prolyl cis-trans isomerase		0	protein-coding		WP_018863251.1	170	G372_RS0102890
NZ_ARQK01000035.1	34083	34433		minus	hypothetical protein		0	protein-coding		WP_019623838.1	116	G372_RS0102895
NZ_ARQK01000035.1	34590	36488		minus	adenylyl-sulfate reductase subunit alpha	aprA	0	protein-coding		WP_018863253.1	632	G372_RS0102900
NZ_ARQK01000035.1	36488	36967		minus	adenylyl-sulfate reductase subunit beta	aprB	0	protein-coding		WP_038070474.1	159	G372_RS0102905
NZ_ARQK01000035.1	37007	37780		minus	hypothetical protein		0	protein-coding		WP_018863255.1	257	G372_RS0102910
NZ_ARQK01000035.1	38354	39544		plus	sulfate adenylyltransferase	sat	0	protein-coding		WP_018863256.1	396	G372_RS0102915
NZ_ARQK01000035.1	39612	40217		minus	CBS domain-containing protein		0	protein-coding		WP_019623840.1	201	G372_RS0102920
NZ_ARQK01000035.1	40346	40882		minus	metallophosphoesterase family protein		0	protein-coding		WP_018863258.1	178	G372_RS0102925
NZ_ARQK01000035.1	41108	43969		plus	molybdopterin oxidoreductase family protein		0	protein-coding		WP_018863259.1	953	G372_RS0102930
NZ_ARQK01000035.1	44254	44985		plus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_017925619.1	243	G372_RS0102935
NZ_ARQK01000035.1	45003	45986		plus	dimethyl sulfoxide reductase anchor subunit		0	protein-coding		WP_019623841.1	327	G372_RS0102940
NZ_ARQK01000035.1	46054	47220		minus	hypothetical protein		0	protein-coding		WP_018863261.1	388	G372_RS0102945
NZ_ARQK01000036.1	137	1339		minus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		0	protein-coding		WP_019623569.1	400	G372_RS0102950
NZ_ARQK01000036.1	1326	2780		minus	ribosome biogenesis GTPase Der	der	0	protein-coding		WP_019623570.1	484	G372_RS0102955
NZ_ARQK01000036.1	2831	4021		minus	outer membrane protein assembly factor BamB	bamB	0	protein-coding		WP_020008821.1	396	G372_RS0102960
NZ_ARQK01000036.1	4036	4650		minus	tetratricopeptide repeat protein		0	protein-coding		WP_018864995.1	204	G372_RS0102965
NZ_ARQK01000036.1	4693	5976		minus	histidine--tRNA ligase	hisS	0	protein-coding		WP_019623571.1	427	G372_RS0102970
NZ_ARQK01000036.1	6198	7391		minus	DUF4115 domain-containing protein		0	protein-coding		WP_019623572.1	397	G372_RS0102975
NZ_ARQK01000036.1	7381	8151		minus	type IV pilus biogenesis/stability protein PilW	pilW	0	protein-coding		WP_018864992.1	256	G372_RS0102980
NZ_ARQK01000036.1	8151	9284		minus	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN		0	protein-coding		WP_019623573.1	377	G372_RS0102985
NZ_ARQK01000036.1	9417	9848		minus	nucleoside-diphosphate kinase	ndk	0	protein-coding		WP_018864990.1	143	G372_RS0102990
NZ_ARQK01000036.1	10021	10644		minus	class I SAM-dependent methyltransferase		0	protein-coding		WP_018864989.1	207	G372_RS0102995
NZ_ARQK01000036.1	10710	12797		minus	polyribonucleotide nucleotidyltransferase	pnp	0	protein-coding		WP_019623574.1	695	G372_RS0103000
NZ_ARQK01000036.1	12923	13192		minus	30S ribosomal protein S15	rpsO	0	protein-coding		WP_012982141.1	89	G372_RS0103005
NZ_ARQK01000036.1	13304	14263		minus	tRNA pseudouridine(55) synthase TruB	truB	0	protein-coding		WP_019623575.1	319	G372_RS0103010
NZ_ARQK01000036.1	14281	14724		minus	30S ribosome-binding factor RbfA	rbfA	0	protein-coding		WP_019623576.1	147	G372_RS0103015
NZ_ARQK01000036.1	14724	17444		minus	translation initiation factor IF-2	infB	0	protein-coding		WP_026340316.1	906	G372_RS0103020
NZ_ARQK01000036.1	17526	19013		minus	transcription termination factor NusA	nusA	0	protein-coding		WP_019623578.1	495	G372_RS0103025
NZ_ARQK01000036.1	19073	19528		minus	ribosome maturation factor RimP	rimP	0	protein-coding		WP_018864983.1	151	G372_RS0103030
NZ_ARQK01000036.1	19730	19806		minus	tRNA-Met		0	tRNA				G372_RS0103035
NZ_ARQK01000036.1	19906	20250		minus	DUF2818 family protein		0	protein-coding		WP_018864982.1	114	G372_RS0103040
NZ_ARQK01000036.1	20254	21702		minus	NADH-quinone oxidoreductase subunit NuoN	nuoN	0	protein-coding		WP_019623579.1	482	G372_RS0103045
NZ_ARQK01000036.1	21716	23230		minus	NADH-quinone oxidoreductase subunit M		0	protein-coding		WP_018864980.1	504	G372_RS0103050
NZ_ARQK01000036.1	23283	25280		minus	NADH-quinone oxidoreductase subunit L	nuoL	0	protein-coding		WP_018864979.1	665	G372_RS0103055
NZ_ARQK01000036.1	25287	25592		minus	NADH-quinone oxidoreductase subunit NuoK	nuoK	0	protein-coding		WP_012982131.1	101	G372_RS0103060
NZ_ARQK01000036.1	25682	26335		minus	NADH-quinone oxidoreductase subunit J		0	protein-coding		WP_019623580.1	217	G372_RS0103065
NZ_ARQK01000036.1	26351	26839		minus	NADH-quinone oxidoreductase subunit NuoI	nuoI	0	protein-coding		WP_018864977.1	162	G372_RS0103070
NZ_ARQK01000036.1	26850	27914		minus	NADH-quinone oxidoreductase subunit NuoH	nuoH	0	protein-coding		WP_018864976.1	354	G372_RS0103075
NZ_ARQK01000036.1	27928	30324		minus	NADH-quinone oxidoreductase subunit NuoG	nuoG	0	protein-coding		WP_019623581.1	798	G372_RS0103080
NZ_ARQK01000036.1	30357	31637		minus	NADH-quinone oxidoreductase subunit NuoF	nuoF	0	protein-coding		WP_019623582.1	426	G372_RS0103085
NZ_ARQK01000036.1	31639	32169		minus	NAD(P)H-dependent oxidoreductase subunit E		0	protein-coding		WP_018864973.1	176	G372_RS0103090
NZ_ARQK01000036.1	32169	33422		minus	NADH-quinone oxidoreductase subunit D		0	protein-coding		WP_018864972.1	417	G372_RS0103095
NZ_ARQK01000036.1	33415	34134		minus	NADH-quinone oxidoreductase subunit C		0	protein-coding		WP_019623583.1	239	G372_RS0103100
NZ_ARQK01000036.1	34152	34628		minus	NADH-quinone oxidoreductase subunit B		0	protein-coding		WP_012982122.1	158	G372_RS0103105
NZ_ARQK01000036.1	34619	34975		minus	NADH-quinone oxidoreductase subunit A		0	protein-coding		WP_012982121.1	118	G372_RS0103110
NZ_ARQK01000036.1	35242	35326		minus	tRNA-Leu		0	tRNA				G372_RS0103115
NZ_ARQK01000036.1	35349	35729		minus	preprotein translocase subunit SecG	secG	0	protein-coding		WP_018864969.1	126	G372_RS0103120
NZ_ARQK01000036.1	35726	36493		minus	triose-phosphate isomerase	tpiA	0	protein-coding		WP_019623585.1	255	G372_RS0103125
NZ_ARQK01000036.1	36660	38000		minus	phosphoglucosamine mutase	glmM	0	protein-coding		WP_018864967.1	446	G372_RS0103130
NZ_ARQK01000036.1	38034	38927		minus	dihydropteroate synthase	folP	0	protein-coding		WP_019623586.1	297	G372_RS0103135
NZ_ARQK01000036.1	39022	40971		minus	ATP-dependent zinc metalloprotease FtsH	ftsH	0	protein-coding		WP_019623587.1	649	G372_RS0103140
NZ_ARQK01000036.1	41016	41642		minus	23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE	rlmE	0	protein-coding		WP_019623588.1	208	G372_RS0103145
NZ_ARQK01000036.1	41716	42015		plus	ribosome assembly RNA-binding protein YhbY	yhbY	0	protein-coding		WP_018864963.1	99	G372_RS0103150
NZ_ARQK01000036.1	42026	42505		minus	transcription elongation factor GreA	greA	0	protein-coding		WP_018864962.1	159	G372_RS0103155
NZ_ARQK01000036.1	42502	45735		minus	carbamoyl-phosphate synthase large subunit	carB	0	protein-coding		WP_018864961.1	1077	G372_RS0103160
NZ_ARQK01000036.1	45788	46921		minus	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA	0	protein-coding		WP_019623589.1	377	G372_RS0103165
NZ_ARQK01000037.1	1	513		plus	NAD-dependent epimerase/dehydratase family protein		0	protein-coding		WP_020008823.1	170	G372_RS0103170
NZ_ARQK01000037.1	544	1995		minus	DNA polymerase Y family protein		0	protein-coding		WP_019624592.1	483	G372_RS0103175
NZ_ARQK01000037.1	2168	2791		minus	translesion DNA synthesis-associated protein ImuA	imuA	0	protein-coding		WP_019624591.1	207	G372_RS0103180
NZ_ARQK01000037.1	2791	3405		minus	transcriptional repressor LexA	lexA	0	protein-coding		WP_019624590.1	204	G372_RS0103185
NZ_ARQK01000037.1	3594	5390		plus	potassium/proton antiporter		0	protein-coding		WP_019624589.1	598	G372_RS0103190
NZ_ARQK01000037.1	5419	5769		minus	hypothetical protein		0	protein-coding		WP_019624588.1	116	G372_RS0103195
NZ_ARQK01000037.1	5801	6127		minus	hypothetical protein		0	protein-coding		WP_019624587.1	108	G372_RS0103200
NZ_ARQK01000037.1	6293	7531		plus	methyltransferase domain-containing protein		0	protein-coding		WP_026340423.1	412	G372_RS0103205
NZ_ARQK01000037.1	7679	10048		plus	DNA translocase FtsK 4TM domain-containing protein		0	protein-coding		WP_019624585.1	789	G372_RS0103210
NZ_ARQK01000037.1	10167	10826		plus	outer membrane lipoprotein chaperone LolA	lolA	0	protein-coding		WP_026340422.1	219	G372_RS0103215
NZ_ARQK01000037.1	11090	11392		minus	cell division protein ZapA		0	protein-coding		WP_019624583.1	100	G372_RS0103220
NZ_ARQK01000037.1	11389	11613		minus	cell division protein ZapB	zapB	0	protein-coding		WP_018863741.1	74	G372_RS0103225
NZ_ARQK01000037.1	11859	12146		plus	hypothetical protein		0	protein-coding		WP_019624582.1	95	G372_RS0103230
NZ_ARQK01000037.1	12146	12748		plus	UPF0149 family protein		0	protein-coding		WP_018138364.1	200	G372_RS0103235
NZ_ARQK01000037.1	12745	14109		plus	Xaa-Pro aminopeptidase	pepP	0	protein-coding		WP_019624581.1	454	G372_RS0103240
NZ_ARQK01000037.1	14369	15628		plus	FAD-dependent monooxygenase		0	protein-coding		WP_019624580.1	419	G372_RS0103245
NZ_ARQK01000037.1	15625	16818		plus	FAD-dependent monooxygenase		0	protein-coding		WP_019624579.1	397	G372_RS0103250
NZ_ARQK01000037.1	17376	18455		plus	porin		0	protein-coding		WP_018863746.1	359	G372_RS0103255
NZ_ARQK01000037.1	18857	19597		minus	hypothetical protein		0	protein-coding		WP_026278938.1	246	G372_RS0103260
NZ_ARQK01000037.1	19659	20141		minus	hypothetical protein		0	protein-coding		WP_019624578.1	160	G372_RS0103265
NZ_ARQK01000037.1	20385	20843		minus	GNAT family N-acetyltransferase		0	protein-coding		WP_018863749.1	152	G372_RS0103270
NZ_ARQK01000037.1	21048	22271		minus	cyclopropane-fatty-acyl-phospholipid synthase family protein		0	protein-coding		WP_019624576.1	407	G372_RS0103275
NZ_ARQK01000037.1	22271	23041		minus	DUF1365 domain-containing protein		0	protein-coding		WP_019624575.1	256	G372_RS0103280
NZ_ARQK01000037.1	23051	24436		minus	NAD/FAD-binding protein		0	protein-coding		WP_019624574.1	461	G372_RS0103285
NZ_ARQK01000037.1	24569	25141		plus	glutathione peroxidase		0	protein-coding		WP_026278939.1	190	G372_RS0103290
NZ_ARQK01000037.1	25138	25953		plus	DUF3429 domain-containing protein		0	protein-coding		WP_019624572.1	271	G372_RS0103295
NZ_ARQK01000037.1	25983	26636		plus	GTP cyclohydrolase I FolE	folE	0	protein-coding		WP_018863755.1	217	G372_RS0103300
NZ_ARQK01000037.1	26880	27482		plus	class I SAM-dependent methyltransferase		0	protein-coding		WP_019624571.1	200	G372_RS0103305
NZ_ARQK01000037.1	27613	27825		plus	YjfB family protein		0	protein-coding		WP_018863757.1	70	G372_RS0103310
NZ_ARQK01000037.1	27903	28595		minus	electron transport complex subunit E		0	protein-coding		WP_018863758.1	230	G372_RS0103315
NZ_ARQK01000037.1	28592	29275		minus	electron transport complex subunit RsxG	rsxG	0	protein-coding		WP_019624570.1	227	G372_RS0103320
NZ_ARQK01000037.1	29268	30329		minus	electron transport complex subunit RsxD	rsxD	0	protein-coding		WP_018863760.1	353	G372_RS0103325
NZ_ARQK01000037.1	30329	31957		minus	electron transport complex subunit RsxC	rsxC	0	protein-coding		WP_019624569.1	542	G372_RS0103330
NZ_ARQK01000037.1	31990	32574		minus	electron transport complex subunit RsxB	rsxB	0	protein-coding		WP_018863762.1	194	G372_RS0103335
NZ_ARQK01000037.1	32571	33149		minus	electron transport complex subunit RsxA	rsxA	0	protein-coding		WP_018862782.1	192	G372_RS0103340
NZ_ARQK01000037.1	33385	34080		minus	hypothetical protein		0	protein-coding		WP_019624568.1	231	G372_RS0103345
NZ_ARQK01000037.1	34077	34697		minus	methylthioribulose 1-phosphate dehydratase	mtnB	0	protein-coding		WP_018863764.1	206	G372_RS0103350
NZ_ARQK01000037.1	34767	36803		minus	methionine--tRNA ligase	metG	0	protein-coding		WP_019624567.1	678	G372_RS0103355
NZ_ARQK01000037.1	37264	38355		plus	iron-sulfur cluster carrier protein ApbC	apbC	0	protein-coding		WP_018863766.1	363	G372_RS0103360
NZ_ARQK01000037.1	38385	38951		plus	dCTP deaminase	dcd	0	protein-coding		WP_012983152.1	188	G372_RS0103365
NZ_ARQK01000037.1	38980	39885		plus	carbamate kinase		0	protein-coding		WP_026340421.1	301	G372_RS0103370
NZ_ARQK01000037.1	39996	40205		plus	fimbrillin family protein		0	protein-coding		WP_018863768.1	69	G372_RS0103375
NZ_ARQK01000037.1	40355	42073		plus	biosynthetic-type acetolactate synthase large subunit	ilvB	0	protein-coding		WP_019624565.1	572	G372_RS0103380
NZ_ARQK01000037.1	42096	42590		plus	acetolactate synthase small subunit	ilvN	0	protein-coding		WP_019624564.1	164	G372_RS0103385
NZ_ARQK01000037.1	42682	43698		plus	ketol-acid reductoisomerase	ilvC	0	protein-coding		WP_018863771.1	338	G372_RS0103390
NZ_ARQK01000037.1	43763	44431		plus	phosphatidylserine decarboxylase		0	protein-coding		WP_018863772.1	222	G372_RS0103395
NZ_ARQK01000037.1	44428	45237		plus	CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA	0	protein-coding		WP_019624563.1	269	G372_RS0103400
NZ_ARQK01000037.1	45241	46035		plus	uracil-DNA glycosylase		0	protein-coding		WP_019624562.1	264	G372_RS0103405
NZ_ARQK01000037.1	46129	46608		plus	ribosomal protein S18-alanine N-acetyltransferase	rimI	0	protein-coding		WP_026278941.1	159	G372_RS0103410
NZ_ARQK01000037.1	46764	47567		plus	tetratricopeptide repeat protein		0	protein-coding		WP_019624561.1	267	G372_RS0103415
NZ_ARQK01000038.1	116	934		minus	pyrroline-5-carboxylate reductase	proC	0	protein-coding		WP_019623985.1	272	G372_RS0103420
NZ_ARQK01000038.1	949	1662		minus	YggS family pyridoxal phosphate-dependent enzyme		0	protein-coding		WP_019623986.1	237	G372_RS0103425
NZ_ARQK01000038.1	1806	2840		plus	type IV pilus twitching motility protein PilT		0	protein-coding		WP_018863608.1	344	G372_RS0103430
NZ_ARQK01000038.1	2883	4055		plus	PilT/PilU family type 4a pilus ATPase		0	protein-coding		WP_019623987.1	390	G372_RS0103435
NZ_ARQK01000038.1	4083	5201		plus	PilT/PilU family type 4a pilus ATPase		0	protein-coding		WP_019623988.1	372	G372_RS0103440
NZ_ARQK01000038.1	5308	6207		minus	dihydroorotate dehydrogenase electron transfer subunit		0	protein-coding		WP_019623989.1	299	G372_RS0103445
NZ_ARQK01000038.1	6515	7810		minus	dihydroorotase		0	protein-coding		WP_019623990.1	431	G372_RS0103450
NZ_ARQK01000038.1	7807	8829		minus	aspartate carbamoyltransferase catalytic subunit		0	protein-coding		WP_018863613.1	340	G372_RS0103455
NZ_ARQK01000038.1	8826	9350		minus	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR	0	protein-coding		WP_018863614.1	174	G372_RS0103460
NZ_ARQK01000038.1	9347	9739		minus	Holliday junction resolvase RuvX	ruvX	0	protein-coding		WP_019623991.1	130	G372_RS0103465
NZ_ARQK01000038.1	9758	10336		minus	YqgE/AlgH family protein		0	protein-coding		WP_018863616.1	192	G372_RS0103470
NZ_ARQK01000038.1	10395	11321		minus	energy transducer TonB		0	protein-coding		WP_019623992.1	308	G372_RS0103475
NZ_ARQK01000038.1	11296	11841		minus	Gx transporter family protein		0	protein-coding		WP_019623993.1	181	G372_RS0103480
NZ_ARQK01000038.1	11937	12311		minus	NusG domain II-containing protein		0	protein-coding		WP_018863619.1	124	G372_RS0103485
NZ_ARQK01000038.1	12308	13363		minus	FAD:protein FMN transferase		0	protein-coding		WP_026340355.1	351	G372_RS0103490
NZ_ARQK01000038.1	13376	14317		minus	glutathione synthase	gshB	0	protein-coding		WP_026340356.1	313	G372_RS0103495
NZ_ARQK01000038.1	14521	14940		plus	response regulator		0	protein-coding		WP_019623996.1	139	G372_RS0103500
NZ_ARQK01000038.1	14979	15344		plus	twitching motility response regulator PilH	pilH	0	protein-coding		WP_018863623.1	121	G372_RS0103505
NZ_ARQK01000038.1	15341	15919		plus	chemotaxis protein CheW		0	protein-coding		WP_018863624.1	192	G372_RS0103510
NZ_ARQK01000038.1	15955	18033		plus	methyl-accepting chemotaxis protein		0	protein-coding		WP_038070491.1	692	G372_RS0103515
NZ_ARQK01000038.1	18049	23661		plus	Hpt domain-containing protein		0	protein-coding		WP_019623998.1	1870	G372_RS0103520
NZ_ARQK01000038.1	23658	24149		plus	hypothetical protein		0	protein-coding		WP_018863627.1	163	G372_RS0103525
NZ_ARQK01000038.1	24196	24963		minus	16S rRNA (uracil(1498)-N(3))-methyltransferase		0	protein-coding		WP_018863628.1	255	G372_RS0103530
NZ_ARQK01000038.1	24970	25824		minus	methylenetetrahydrofolate reductase [NAD(P)H]	metF	0	protein-coding		WP_018863629.1	284	G372_RS0103535
NZ_ARQK01000038.1	25920	27332		minus	adenosylhomocysteinase	ahcY	0	protein-coding		WP_018863630.1	470	G372_RS0103540
NZ_ARQK01000038.1	27467	28639		minus	methionine adenosyltransferase	metK	0	protein-coding		WP_018863631.1	390	G372_RS0103545
NZ_ARQK01000038.1	28996	30996		plus	transketolase	tkt	0	protein-coding		WP_019623999.1	666	G372_RS0103550
NZ_ARQK01000038.1	31047	32045		plus	type I glyceraldehyde-3-phosphate dehydrogenase	gap	0	protein-coding		WP_018862624.1	332	G372_RS0103555
NZ_ARQK01000038.1	32175	33353		plus	phosphoglycerate kinase		0	protein-coding		WP_018863633.1	392	G372_RS0103560
NZ_ARQK01000038.1	33391	34821		plus	pyruvate kinase	pyk	0	protein-coding		WP_018863634.1	476	G372_RS0103565
NZ_ARQK01000038.1	34891	35955		plus	fructose-bisphosphate aldolase class II	fba	0	protein-coding		WP_019624000.1	354	G372_RS0103570
NZ_ARQK01000038.1	36045	36848		plus	lipid-binding SYLF domain-containing protein		0	protein-coding		WP_018863636.1	267	G372_RS0103575
NZ_ARQK01000038.1	36776	37492		minus	dethiobiotin synthase	bioD	0	protein-coding		WP_019624001.1	238	G372_RS0103580
NZ_ARQK01000038.1	37489	38385		minus	phosphoribosylaminoimidazolesuccinocarboxamide synthase		0	protein-coding		WP_019624002.1	298	G372_RS0103585
NZ_ARQK01000038.1	38413	39774		minus	30S ribosomal protein S12 methylthiotransferase RimO	rimO	0	protein-coding		WP_019624003.1	453	G372_RS0103590
NZ_ARQK01000038.1	40112	40315		plus	50S ribosomal protein L31	rpmE	0	protein-coding		WP_018174932.1	67	G372_RS0103595
NZ_ARQK01000038.1	40416	41192		plus	hypothetical protein		0	protein-coding		WP_019624004.1	258	G372_RS0103600
NZ_ARQK01000038.1	41189	42046		plus	M48 family metallopeptidase		0	protein-coding		WP_019624005.1	285	G372_RS0103605
NZ_ARQK01000038.1	42126	43346		plus	malic enzyme-like NAD(P)-binding protein		0	protein-coding		WP_018863642.1	406	G372_RS0103610
NZ_ARQK01000038.1	43404	44327		plus	malate dehydrogenase	mdh	0	protein-coding		WP_019624006.1	307	G372_RS0103615
NZ_ARQK01000038.1	44311	45258		plus	5'-3' exonuclease H3TH domain-containing protein		0	protein-coding		WP_019624007.1	315	G372_RS0103620
NZ_ARQK01000038.1	45255	45920		plus	DUF1007 family protein		0	protein-coding		WP_019624008.1	221	G372_RS0103625
NZ_ARQK01000038.1	45920	46462		plus	pseudouridine synthase		0	protein-coding		WP_026340357.1	180	G372_RS0103630
NZ_ARQK01000038.1	46605	48665		plus	transglycosylase SLT domain-containing protein		0	protein-coding		WP_019025620.1	686	G372_RS0103635
NZ_ARQK01000039.1	1	123		minus	uncharacterized gene		0	pseudogene				G372_RS14435
NZ_ARQK01000039.1	707	1393		minus	SMC-Scp complex subunit ScpB	scpB	0	protein-coding		WP_019624531.1	228	G372_RS0103645
NZ_ARQK01000039.1	1390	2247		minus	ScpA family protein		0	protein-coding		WP_019624532.1	285	G372_RS0103650
NZ_ARQK01000039.1	2280	3500		minus	tryptophan--tRNA ligase		0	protein-coding		WP_018863824.1	406	G372_RS0103655
NZ_ARQK01000039.1	3547	4908		minus	DUF945 family protein		0	protein-coding		WP_019624533.1	453	G372_RS0103660
NZ_ARQK01000039.1	4936	5553		minus	L-threonylcarbamoyladenylate synthase		0	protein-coding		WP_026278947.1	205	G372_RS0103665
NZ_ARQK01000039.1	5665	5961		plus	YciI family protein		0	protein-coding		WP_018863821.1	98	G372_RS0103670
NZ_ARQK01000039.1	5964	6833		plus	peptidylprolyl isomerase		0	protein-coding		WP_026340417.1	289	G372_RS0103675
NZ_ARQK01000039.1	6858	7427		minus	copper chaperone PCu(A)C		0	protein-coding		WP_020008824.1	189	G372_RS0103680
NZ_ARQK01000039.1	7588	8907		plus	HlyD family efflux transporter periplasmic adaptor subunit		0	protein-coding		WP_019624537.1	439	G372_RS0103685
NZ_ARQK01000039.1	8900	12094		plus	efflux RND transporter permease subunit		0	protein-coding		WP_019624538.1	1064	G372_RS0103690
NZ_ARQK01000039.1	12185	12622		plus	hypothetical protein		0	protein-coding		WP_018863816.1	145	G372_RS0103695
NZ_ARQK01000039.1	12698	13345		plus	endonuclease III	nth	0	protein-coding		WP_018863815.1	215	G372_RS0103700
NZ_ARQK01000039.1	13375	13800		plus	DUF1841 family protein		0	protein-coding		WP_018863814.1	141	G372_RS0103705
NZ_ARQK01000039.1	13802	16942		minus	efflux RND transporter permease subunit		0	protein-coding		WP_019624539.1	1046	G372_RS0103710
NZ_ARQK01000039.1	16939	18072		minus	efflux RND transporter periplasmic adaptor subunit		0	protein-coding		WP_019624540.1	377	G372_RS0103715
NZ_ARQK01000039.1	18103	18558		minus	hypothetical protein		0	protein-coding		WP_019624541.1	151	G372_RS0103720
NZ_ARQK01000039.1	18681	19115		plus	SRPBCC family protein		0	protein-coding		WP_019624542.1	144	G372_RS0103725
NZ_ARQK01000039.1	19133	20290		minus	MFS transporter		0	protein-coding		WP_019624543.1	385	G372_RS0103730
NZ_ARQK01000039.1	20336	21442		minus	chorismate synthase	aroC	0	protein-coding		WP_018863808.1	368	G372_RS0103735
NZ_ARQK01000039.1	21567	22073		plus	heme-binding protein		0	protein-coding		WP_018863807.1	168	G372_RS0103740
NZ_ARQK01000039.1	22120	22575		plus	rhodanese-like domain-containing protein		0	protein-coding		WP_019624544.1	151	G372_RS0103745
NZ_ARQK01000039.1	22604	23014		minus	nucleoside diphosphate kinase regulator	rnk	0	protein-coding		WP_018137751.1	136	G372_RS0103750
NZ_ARQK01000039.1	23161	23505		minus	rhodanese-like domain-containing protein		0	protein-coding		WP_019624545.1	114	G372_RS0103755
NZ_ARQK01000039.1	23570	24238		minus	thioredoxin family protein		0	protein-coding		WP_019624546.1	222	G372_RS0103760
NZ_ARQK01000039.1	24251	24703		minus	glycine cleavage system protein H		0	protein-coding		WP_018863802.1	150	G372_RS0103765
NZ_ARQK01000039.1	24703	25101		minus	hypothetical protein		0	protein-coding		WP_018863801.1	132	G372_RS0103770
NZ_ARQK01000039.1	25267	25824		plus	hemerythrin domain-containing protein		0	protein-coding		WP_019624547.1	185	G372_RS0103775
NZ_ARQK01000039.1	25817	26515		plus	hemerythrin domain-containing protein		0	protein-coding		WP_019624548.1	232	G372_RS0103780
NZ_ARQK01000039.1	26665	29328		plus	diguanylate cyclase		0	protein-coding		WP_026340418.1	887	G372_RS0103785
NZ_ARQK01000039.1	29329	29982		minus	endonuclease III domain-containing protein		0	protein-coding		WP_018863797.1	217	G372_RS0103790
NZ_ARQK01000039.1	29982	30938		minus	pseudouridine synthase		0	protein-coding		WP_018863796.1	318	G372_RS0103795
NZ_ARQK01000039.1	31037	31573		plus	molybdenum cofactor biosynthesis protein B	moaB	0	protein-coding		WP_018863795.1	178	G372_RS0103800
NZ_ARQK01000039.1	31596	33380		minus	N-acetylglutaminylglutamine amidotransferase		0	protein-coding		WP_019624550.1	594	G372_RS0103805
NZ_ARQK01000039.1	33471	34373		minus	LysR substrate-binding domain-containing protein		0	protein-coding		WP_019624551.1	300	G372_RS0103810
NZ_ARQK01000039.1	34516	34905		minus	hypothetical protein		0	protein-coding		WP_018863791.1	129	G372_RS0103815
NZ_ARQK01000039.1	34956	36038		plus	protease SohB	sohB	0	protein-coding		WP_019624552.1	360	G372_RS0103820
NZ_ARQK01000039.1	36121	36621		plus	DsrE family protein		0	protein-coding		WP_196800081.1	166	G372_RS0103825
NZ_ARQK01000039.1	36718	37692		minus	bile acid:sodium symporter		0	protein-coding		WP_026340420.1	324	G372_RS0103830
NZ_ARQK01000039.1	37809	38768		plus	arsenosugar biosynthesis radical SAM protein ArsS	arsS	0	protein-coding		WP_018863787.1	319	G372_RS0103835
NZ_ARQK01000039.1	38855	39352		plus	ATP-dependent zinc protease		0	protein-coding		WP_018863786.1	165	G372_RS0103840
NZ_ARQK01000039.1	39349	40254		plus	30S ribosomal protein S6--L-glutamate ligase	rimK	0	protein-coding		WP_018863785.1	301	G372_RS0103845
NZ_ARQK01000039.1	40254	41324		plus	M14 family metallopeptidase		0	protein-coding		WP_019624555.1	356	G372_RS0103850
NZ_ARQK01000039.1	41401	42741		plus	TlpA disulfide reductase family protein		0	protein-coding		WP_019624556.1	446	G372_RS0103855
NZ_ARQK01000039.1	42738	44333		minus	hypothetical protein		0	protein-coding		WP_019624557.1	531	G372_RS0103860
NZ_ARQK01000039.1	44347	44928		minus	cytochrome b		0	protein-coding		WP_018863781.1	193	G372_RS0103865
NZ_ARQK01000039.1	45043	45768		plus	HAD family hydrolase		0	protein-coding		WP_019624558.1	241	G372_RS0103870
NZ_ARQK01000039.1	46109	46528		minus	alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB	arfB	0	protein-coding		WP_018863779.1	139	G372_RS0103875
NZ_ARQK01000039.1	46532	46804		minus	hypothetical protein		0	protein-coding		WP_196800084.1	90	G372_RS0103880
NZ_ARQK01000039.1	47000	48592		minus	peptide chain release factor 3		0	protein-coding		WP_019624560.1	530	G372_RS0103885
NZ_ARQK01000040.1	212	3370		minus	efflux RND transporter permease subunit		0	protein-coding		WP_018864584.1	1052	G372_RS0103890
NZ_ARQK01000040.1	3367	4482		minus	efflux RND transporter periplasmic adaptor subunit		0	protein-coding		WP_019624037.1	371	G372_RS0103895
NZ_ARQK01000040.1	4559	5575		minus	glutathione S-transferase family protein		0	protein-coding		WP_019624036.1	338	G372_RS0103900
NZ_ARQK01000040.1	5701	7287		minus	glutamate--cysteine ligase	gshA	0	protein-coding		WP_019624035.1	528	G372_RS0103905
